Song Title/Album Title,Date,Event,Event Type,Special Guest,City,State,Country
Ring the Alarm,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
Run the World - Girls,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
Flawless,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
Feeling Myself,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
Yoncé,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
"Jumpin', Jumpin'",9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
End of Time,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
Single Ladies - Put a Ring on It,9/30/15,Private show at Wynn Las Vegas,Live Event,,Las Vegas,Nevada,United States
I Will Always Love You,3/5/16,Center for Early Education 75th Anniversary Gala,Live Event,,West Hollywood,California,United States
Halo,3/5/16,Center for Early Education 75th Anniversary Gala,Live Event,,West Hollywood,California,United States
Crazy in Love,3/5/16,Center for Early Education 75th Anniversary Gala,Live Event,,West Hollywood,California,United States
XO,3/5/16,Center for Early Education 75th Anniversary Gala,Live Event,,West Hollywood,California,United States
Formation,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,,Cleveland,Ohio,United States
Freedom,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,,Cleveland,Ohio,United States
Diva,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,,Cleveland,Ohio,United States
Bow Down,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,,Cleveland,Ohio,United States
Independent Women,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,,Cleveland,Ohio,United States
Run the World - Girls,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,,Cleveland,Ohio,United States
Holy Grail,11/4/16,"Get Out the Vote  concert supporting Hillary Clinton 2016 presidential 
campaign",Live Event,with Jay-Z ,Cleveland,Ohio,United States
All Night,12/15/16,Parkwood Entertainment holiday party,Live Event,,Los Angeles,California,United States
XO,10/11/18,City of Hope  Gala,Live Event,,Santa Monica,California,United States
Perfect Duet,10/11/18,City of Hope  Gala,Live Event,,Santa Monica,California,United States
Ave Maria - Schubert,10/11/18,City of Hope  Gala,Live Event,,Santa Monica,California,United States
Halo,10/11/18,City of Hope  Gala,Live Event,,Santa Monica,California,United States
Deja Vu,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Crazy in Love,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Freedom,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Baby Boy,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Mi Gente - Remix,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Formation,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Run the World - Girls,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
XO,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Perfect Duet,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Drunk in Love,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Naughty Girl,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
Single Ladies - Put a Ring on It,12/9/18,Isha Ambani and Anand Piramal wedding party,Live Event,,Udaipur,,India
